Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Badge (product.metafields.custom.badge),Emotional Axes (product.metafields.custom.emotional_axes),Focus Keyword (product.metafields.custom.focus_keyword),Highlights (product.metafields.custom.highlights),SEO Keywords (product.metafields.custom.seo_keywords),Shipping Note (product.metafields.custom.shipping_note),Short Description (product.metafields.custom.short_description),Trust Badges (product.metafields.custom.trust_badges),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Has SEO Tags (product.metafields.seo.has_seo_tags),Active ingredient (product.metafields.shopify.active-ingredient),Age group (product.metafields.shopify.age-group),Bristle material (product.metafields.shopify.bristle-material),Bristle shape (product.metafields.shopify.bristle-shape),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Hair type (product.metafields.shopify.hair-type),Hold level (product.metafields.shopify.hold-level),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Moisturizer type (product.metafields.shopify.moisturizer-type),Product form (product.metafields.shopify.product-form),Ring design (product.metafields.shopify.ring-design),Ring size (product.metafields.shopify.ring-size),Skin care effect (product.metafields.shopify.skin-care-effect),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Category,Product Type,Persona,Trend,Season,Vibe,Material,Silhouette,Detail,MVQ Persona,MVQ Editorial Style,MVQ Frames Count,MVQ Editorial Score,MVQ SEO Score,MVQ Alt Score,MVQ Detection Confidence,MVQ Persona Confidence,MVQ Category,MVQ Product Type
o-two-o-make-up-base-foundation-primer-makeup-cream-sunscreen-moisturizing-oil-control,o-two-o-make-up-base-foundation-primer-makeup-cream-sunscreen-moisturi,o-two-o-make-up-base-foundation-primer-makeup-cream-sunscreen-moisturizing-oil-control,,,,,,,SUNBURST,,,,,,,,68A470A98CD14CF8A2575D1B86F696C9,140.0,shopify,continue,manual,15.58,19.94,true,true,,,,,,,,,,o-two-o-make-up-base-foundation-primer-makeup-cream-sunscreen-moisturi,o-two-o-make-up-base-foundation-primer-makeup-cream-sunscreen-moisturizing-oil-control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,1.82,,,,,,,,,,[],,commercial,0,0,60,100,0.9,0.9,,
o-two-o-make-up-base-foundation-primer-makeup-cream-sunscreen-moisturizing-oil-control,o-two-o-make-up-base-foundation-primer-makeup-cream-sunscreen-moisturi,o-two-o-make-up-base-foundation-primer-makeup-cream-sunscreen-moisturizing-oil-control,,,,,,,BUBBLY,,,,,,,,319D9BED6901434E8CE9B86BDD213291,140.0,shopify,continue,manual,15.58,19.94,true,true,,,,,,,,,,o-two-o-make-up-base-foundation-primer-makeup-cream-sunscreen-moisturi,o-two-o-make-up-base-foundation-primer-makeup-cream-sunscreen-moisturizing-oil-control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,1.82,,,,,,,,,,[],,commercial,0,0,60,100,0.9,0.9,,
o-two-o-liquid-eyeliner-pen-black-beauty-cat-style-24-hours-long-lasting-waterproof-makeup-cosmetic-tool,O.TWO.O Liquid Eyeliner Pen Black Beauty Cat Style 24 Hours Long-lasti,Includes the oil share. Prevents around the eye dry. Long lasting up to 24 hours Use in fluently Brand: O.TWO.O Net Weight: 0.16 FL.Oz Package Weight: 13g Size: 12.3cm*1.5cm*2cm Color: Black Color Shelf Life: 3 years Package Content: 1* Liquid Eyeliner(with box) Notes: 1. Please do not for purposes other than makeup. 2. Please do not put in direct sunlight or temperature is too high or too low. 3. Keep out of the reach of kids.,eprolo,,,"beauty, eprolo, runCode.tagsToAdd, Under 25",true,Title,A,,,,,,,,1C0E061C2643481E81520F66AB3D4F36,100.0,shopify,continue,manual,13.16,16.84,true,true,,,,,,,,,false,O.TWO.O Liquid Eyeliner Pen Black Beauty Cat Style 24 Hours Long-lasti,Includes the oil share. Prevents around the eye dry. Long lasting up to 24 hours Use in fluently Brand: O.TWO.O Net Weight: 0.16 FL.Oz Package Weight: 13g Size:,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,g,,1.27,active,beauty,,Ethereal Siren,,summer,,oil,,[],Ethereal Siren,commercial,0,0,60,100,0.9,0.9,beauty,
o-two-o-liquid-eyeliner-pen-black-beauty-cat-style-24-hours-long-lasting-waterproof-makeup-cosmetic-tool,o-two-o-liquid-eyeliner-pen-black-beauty-cat-style-24-hours-long-lasti,o-two-o-liquid-eyeliner-pen-black-beauty-cat-style-24-hours-long-lasting-waterproof-makeup-cosmetic-tool,,,,,,,B,,,,,,,,23FA930128C540AE9A79051F81FB18EA,100.0,shopify,continue,manual,13.16,16.84,true,true,,,,,,,,,,o-two-o-liquid-eyeliner-pen-black-beauty-cat-style-24-hours-long-lasti,o-two-o-liquid-eyeliner-pen-black-beauty-cat-style-24-hours-long-lasting-waterproof-makeup-cosmetic-tool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,1.27,,,,,,,,,,[],,commercial,0,0,60,100,0.9,0.9,,
m-n-menow-brand-cosmetic-eyebrow-pencil-with-comb-with-waterproof-long-lasting-effect-professional-makeup-eyebrow-p09013,M.n Menow Brand Cosmetic Eyebrow Pencil With Comb With Waterproof &Lon,"Product description Product Name: P09013 eyebrow pencil Weight: 4g Packing Size: 17.5 * 0.5 (cm) DESCRIPTION: PROVIDES SOFT&amp;SIMPLECOLOR Let your eyebrow look EYEBROW SMOOTHER, JUST ONE LINE THAT WILL FULLY CHANGE YOUR APPEARANCE. INGREDIENTS: 2-ETHYLHEXYL PALMITATE, ISOPROPYL MYRISTATE, POLYISOBUTENE, COCOA BUTTER, CARNAUBA WAX, CERESIN SILICON WAX, MICA, TALC, TOCOPHERYL ACETATE, IRONOXIDE, METHYLPARABEN, PROPYLPAREBEN. MAY CONTAIN: CI77491,CI77492, CI77499,CI77891, CI15850, CI73360, CI77510.",eprolo,,,"beauty, eprolo, runCode.tagsToAdd, Under 25",true,Title,01,,,,,,,,1E50ED9FE37C4667A7A0AEE02E5B8C8F,50.0,shopify,continue,manual,13.13,16.81,true,true,,,,,,,,,false,M.n Menow Brand Cosmetic Eyebrow Pencil With Comb With Waterproof &Lon,Product description Product Name: P09013 eyebrow pencil Weight: 4g Packing Size: 17.5 * 0.5 (cm) DESCRIPTION: PROVIDES SOFT&amp;SIMPLECOLOR Let your eyebrow loo,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,g,,0.54,active,beauty,accessory,Soft Minimalist,quiet luxury,,quiet luxury,metal,,[],Soft Minimalist,commercial,0,0,60,100,0.9,0.9,beauty,accessory
m-n-menow-brand-cosmetic-eyebrow-pencil-with-comb-with-waterproof-long-lasting-effect-professional-makeup-eyebrow-p09013,m-n-menow-brand-cosmetic-eyebrow-pencil-with-comb-with-waterproof-long,m-n-menow-brand-cosmetic-eyebrow-pencil-with-comb-with-waterproof-long-lasting-effect-professional-makeup-eyebrow-p09013,,,,,,,02,,,,,,,,F48A454433E9491B8D329D50CA65FA01,50.0,shopify,continue,manual,13.13,16.81,true,true,,,,,,,,,,m-n-menow-brand-cosmetic-eyebrow-pencil-with-comb-with-waterproof-long,m-n-menow-brand-cosmetic-eyebrow-pencil-with-comb-with-waterproof-long-lasting-effect-professional-makeup-eyebrow-p09013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,0.54,,,,,,,,,,[],,commercial,0,0,60,100,0.9,0.9,,
m-n-menow-brand-cosmetic-eyebrow-pencil-with-comb-with-waterproof-long-lasting-effect-professional-makeup-eyebrow-p09013,m-n-menow-brand-cosmetic-eyebrow-pencil-with-comb-with-waterproof-long,m-n-menow-brand-cosmetic-eyebrow-pencil-with-comb-with-waterproof-long-lasting-effect-professional-makeup-eyebrow-p09013,,,,,,,03,,,,,,,,3AF937DD4F4144A2B4B02816D88324A0,50.0,shopify,continue,manual,13.13,16.81,true,true,,,,,,,,,,m-n-menow-brand-cosmetic-eyebrow-pencil-with-comb-with-waterproof-long,m-n-menow-brand-cosmetic-eyebrow-pencil-with-comb-with-waterproof-long-lasting-effect-professional-makeup-eyebrow-p09013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,0.54,,,,,,,,,,[],,commercial,0,0,60,100,0.9,0.9,,
o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-gloss-kiss-proof-makeup-moisturizing-lipbalm-lip-stick,O.TWO.O 12Colors Velvet Matte Lipstick Long Lasting Waterproof Lip glo,"Features: Velvet Matte, Highly saturated, Easy to wear; Non-stick and oil free, Moisturize, long lasting, Soft texture; Frivolous breathable, mild and refreshing nature,create a full lips; Various colors for choice, all of them are the most popular colors around the world. Detail: Brand: O.TWO.O Net Weight: 0.12oz/3.5g Package Weight: 24g Size: 2cm1.8cm8.4cm Color: 12 Matte Colors How to use: Depending upon how it's applied, this versatile formula goes from providing full coverage to creating a stained lip. Package Content: 1 Matte lipstick(with box) Notes 1. Please be kindly informed that colors of the item you receive might be slightly different from pictures on the item page. Please kindly understand that pictures are only for your reference and we should make the color of the actual product as standard. 2. Please do not for purposes other than makeup. 3. Please do not put in direct sunlight or temperature is too high or too low. 4. Keep out of the reach of kids.",eprolo,,,"beauty, eprolo, runCode.tagsToAdd, Under 25",true,Title,4,,,,,,,,7F6A843442994EDA919098590AB7B3FC,70.0,shopify,continue,manual,16.50,21.12,true,true,,,,,,,,,false,O.TWO.O 12Colors Velvet Matte Lipstick Long Lasting Waterproof Lip glo,"Features: Velvet Matte, Highly saturated, Easy to wear; Non-stick and oil free, Moisturize, long lasting, Soft texture; Frivolous breathable, mild and refreshin",,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,g,,1.64,active,beauty,accessory,Romantic Visionary,romantic revival,summer,romantic,velvet,stick,['matte finish'],Romantic Visionary,commercial,0,0,60,100,0.9,0.9,beauty,accessory
o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-gloss-kiss-proof-makeup-moisturizing-lipbalm-lip-stick,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-glo,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-gloss-kiss-proof-makeup-moisturizing-lipbalm-lip-stick,,,,,,,5,,,,,,,,EEC54957DB264C85BCFDC3ABD44E946B,70.0,shopify,continue,manual,16.50,21.12,true,true,,,,,,,,,,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-glo,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-gloss-kiss-proof-makeup-moisturizing-lipbalm-lip-stick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,1.64,,,,,,,,,,[],,commercial,0,0,60,100,0.9,0.9,,
o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-gloss-kiss-proof-makeup-moisturizing-lipbalm-lip-stick,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-glo,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-gloss-kiss-proof-makeup-moisturizing-lipbalm-lip-stick,,,,,,,6,,,,,,,,D6B0D660F3E64B8F9650EB28764FAA75,70.0,shopify,continue,manual,16.50,21.12,true,true,,,,,,,,,,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-glo,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-gloss-kiss-proof-makeup-moisturizing-lipbalm-lip-stick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,1.64,,,,,,,,,,[],,commercial,0,0,60,100,0.9,0.9,,
o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-gloss-kiss-proof-makeup-moisturizing-lipbalm-lip-stick,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-glo,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-gloss-kiss-proof-makeup-moisturizing-lipbalm-lip-stick,,,,,,,8,,,,,,,,21E3E3C5CD634D7593764C6DBA12C385,70.0,shopify,continue,manual,16.50,21.12,true,true,,,,,,,,,,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-glo,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-gloss-kiss-proof-makeup-moisturizing-lipbalm-lip-stick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,1.64,,,,,,,,,,[],,commercial,0,0,60,100,0.9,0.9,,
o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-gloss-kiss-proof-makeup-moisturizing-lipbalm-lip-stick,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-glo,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-gloss-kiss-proof-makeup-moisturizing-lipbalm-lip-stick,,,,,,,9,,,,,,,,0AAE87F02D4D4D92A4977E74684AD31C,70.0,shopify,continue,manual,16.50,21.12,true,true,,,,,,,,,,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-glo,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-gloss-kiss-proof-makeup-moisturizing-lipbalm-lip-stick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,1.64,,,,,,,,,,[],,commercial,0,0,60,100,0.9,0.9,,
o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-gloss-kiss-proof-makeup-moisturizing-lipbalm-lip-stick,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-glo,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-gloss-kiss-proof-makeup-moisturizing-lipbalm-lip-stick,,,,,,,13,,,,,,,,853D90BA80844D3C849044F80961EA39,70.0,shopify,continue,manual,16.50,21.12,true,true,,,,,,,,,,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-glo,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-gloss-kiss-proof-makeup-moisturizing-lipbalm-lip-stick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,1.64,,,,,,,,,,[],,commercial,0,0,60,100,0.9,0.9,,
o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-gloss-kiss-proof-makeup-moisturizing-lipbalm-lip-stick,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-glo,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-gloss-kiss-proof-makeup-moisturizing-lipbalm-lip-stick,,,,,,,15,,,,,,,,4E53B3DFCAF44CE5A9AA9C9841793D77,70.0,shopify,continue,manual,16.50,21.12,true,true,,,,,,,,,,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-glo,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-gloss-kiss-proof-makeup-moisturizing-lipbalm-lip-stick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,1.64,,,,,,,,,,[],,commercial,0,0,60,100,0.9,0.9,,
o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-gloss-kiss-proof-makeup-moisturizing-lipbalm-lip-stick,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-glo,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-gloss-kiss-proof-makeup-moisturizing-lipbalm-lip-stick,,,,,,,16,,,,,,,,67CCDF31C2C143AFA1745BE86D0B83C4,70.0,shopify,continue,manual,16.50,21.12,true,true,,,,,,,,,,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-glo,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-gloss-kiss-proof-makeup-moisturizing-lipbalm-lip-stick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,1.64,,,,,,,,,,[],,commercial,0,0,60,100,0.9,0.9,,
o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-gloss-kiss-proof-makeup-moisturizing-lipbalm-lip-stick,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-glo,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-gloss-kiss-proof-makeup-moisturizing-lipbalm-lip-stick,,,,,,,17,,,,,,,,D3331BF9C574476F81CEDF28E1DDE887,70.0,shopify,continue,manual,16.50,21.12,true,true,,,,,,,,,,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-glo,o-two-o-12colors-velvet-matte-lipstick-long-lasting-waterproof-lip-gloss-kiss-proof-makeup-moisturizing-lipbalm-lip-stick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,1.64,,,,,,,,,,[],,commercial,0,0,60,100,0.9,0.9,,
breylee-face-cream-hyaluronic-acid-moisturizing-day-cream-retinol-anti-wrinkle-vitamin-c-whitening-skin-care-acne-treatment-40g,BREYLEE Face Cream Hyaluronic Acid Moisturizing Day Cream Retinol Anti,"HYALURONIC ACID Moisturizer Cream: 24-hour Daily Face Moisturizer! Effects: It can effectively solve the problem of hydrating dry, dull skin, restoring elasticity and moisturizing and repairing the skin. VITAMIN C 20% Whitening Face Cream: Remove Dark Spots. Effects: Containing high activity small-molecule Vitamin C, with antioxidant protection, this product can prevent melanin formation. Also with such functions as whitening and brightening the skin color, and removing blemishes and melanin, it can restore skin health, promote skin metabolism and activate damaged skin cells so as to restore elasticity. RETINOL Lifting/Firming Face Cream: Remove Wrinkles Effects: Retinol is a general term for Vitamin A. As a fat-soluble alcohol that promotes collagen production, it can increase skin elasticity, smooth and tighten the skin, and remove fine lines. It is a cellular communication component and antioxidant which has the function of regulating the metabolism of the epidermis and stratum corneum.",eprolo,,,"beauty, eprolo, runCode.tagsToAdd, Under 25",true,Color,VC Face Cream,,,,,,,,BB4F28E938644A24B31F0324735EC88A,120.0,shopify,continue,manual,17.38,22.25,true,true,,,,,,,,,false,BREYLEE Face Cream Hyaluronic Acid Moisturizing Day Cream Retinol Anti,"HYALURONIC ACID Moisturizer Cream: 24-hour Daily Face Moisturizer! Effects: It can effectively solve the problem of hydrating dry, dull skin, restoring elastici",,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,g,,2.92,active,skincare,accessory,Soft Minimalist,,,,cream,bodycon,[],Soft Minimalist,commercial,0,0,60,100,0.9,0.9,skincare,accessory
breylee-face-cream-hyaluronic-acid-moisturizing-day-cream-retinol-anti-wrinkle-vitamin-c-whitening-skin-care-acne-treatment-40g,breylee-face-cream-hyaluronic-acid-moisturizing-day-cream-retinol-anti,breylee-face-cream-hyaluronic-acid-moisturizing-day-cream-retinol-anti-wrinkle-vitamin-c-whitening-skin-care-acne-treatment-40g,,,,,,,Hyaluronic Acid,,,,,,,,87FC801155574EEF8133FB76031AFD21,120.0,shopify,continue,manual,17.38,22.25,true,true,,,,,,,,,,breylee-face-cream-hyaluronic-acid-moisturizing-day-cream-retinol-anti,breylee-face-cream-hyaluronic-acid-moisturizing-day-cream-retinol-anti-wrinkle-vitamin-c-whitening-skin-care-acne-treatment-40g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,2.92,,,,,,,,,,[],,commercial,0,0,60,100,0.9,0.9,,
breylee-face-cream-hyaluronic-acid-moisturizing-day-cream-retinol-anti-wrinkle-vitamin-c-whitening-skin-care-acne-treatment-40g,breylee-face-cream-hyaluronic-acid-moisturizing-day-cream-retinol-anti,breylee-face-cream-hyaluronic-acid-moisturizing-day-cream-retinol-anti-wrinkle-vitamin-c-whitening-skin-care-acne-treatment-40g,,,,,,,Retinol Face Cream,,,,,,,,9B934F2F8C5742F6AD46068AAE723268,120.0,shopify,continue,manual,17.38,22.25,true,true,,,,,,,,,,breylee-face-cream-hyaluronic-acid-moisturizing-day-cream-retinol-anti,breylee-face-cream-hyaluronic-acid-moisturizing-day-cream-retinol-anti-wrinkle-vitamin-c-whitening-skin-care-acne-treatment-40g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,2.92,,,,,,,,,,[],,commercial,0,0,60,100,0.9,0.9,,
12pcs-box-menow-super-matte-lip-liner-set-lip-makeup-brand-pencils-for-lips-lipliner-pen-waterproof,12pcs/box Menow Super Matte Lip Liner Set Lip Makeup Brand Pencils for,"prevents lip color from bleeding &amp; feathering characteristics: You can put the makeup on your lips directly without the use of concealer Due to matte and fog effect, do not squeeze your lips before drying, or it will get sticky Waterproof long-lasting lip gloss, this matte drys fast and stays all day without blurring Velvet matte surface, use olive oil or oil makeup download to download",eprolo,Health & Beauty > Personal Care > Cosmetics > Makeup > Lip Makeup > Lip Liners,,"beauty, eprolo, runCode.tagsToAdd, Under 25",true,Title,Default Title,,,,,,,,7F8F4585F9C54DB4BD583E77B7B2901B,200.0,shopify,continue,manual,17.80,22.78,true,true,,,,,,,,,false,12pcs/box Menow Super Matte Lip Liner Set Lip Makeup Brand Pencils for,prevents lip color from bleeding &amp; feathering characteristics: You can put the makeup on your lips directly without the use of concealer Due to matte and fo,2589,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,g,,2.00,active,beauty,two-piece set,Velvet Rebel,plush comfort,winter,sensual,velvet,stick,['matte finish'],Velvet Rebel,commercial,0,0,60,100,0.9,0.9,beauty,two-piece set
o-two-o-12colors-best-sale-hot-cosmetics-makeup-lip-gloss-long-lasting-waterproof,O.TWO.O 12colors Best Sale Hot Cosmetics Makeup Lip Gloss Long Lasting,"Detail: Brand: O.TWO.O Net Weight: 013 fl oz Package Weight: 25g Size: 11cm*2cm*2cm Color: 12 Matte Colors How to use: Depending upon how it's applied, this versatile formula goes from providing full coverage to creating a stained lip. Package Content: 1* Matte lipstick(with box) Notes: 1. Please be kindly informed that colors of the item you receive might be slightly different from pictures on the item page. Please kindly understand that pictures are only for your reference and we should make the color of the actual product as standard. 2. Please do not for purposes other than makeup. 3. Please do not put in direct sunlight or temperature is too high or too low. 4. Keep out of the reach of kids.",eprolo,,,"beauty, eprolo, runCode.tagsToAdd, Under 25",true,Title,03,,,,,,,,059D05C8A3CE49058C73416189CA1A11,100.0,shopify,continue,manual,16.37,20.95,true,true,,,,,,,,,false,O.TWO.O 12colors Best Sale Hot Cosmetics Makeup Lip Gloss Long Lasting,"Detail: Brand: O.TWO.O Net Weight: 013 fl oz Package Weight: 25g Size: 11cm*2cm*2cm Color: 12 Matte Colors How to use: Depending upon how it's applied, this ver",,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,g,,2.73,active,beauty,accessory,Ethereal Siren,,summer,,,stick,['matte finish'],Ethereal Siren,commercial,0,0,60,100,0.9,0.9,beauty,accessory
o-two-o-12colors-best-sale-hot-cosmetics-makeup-lip-gloss-long-lasting-waterproof,o-two-o-12colors-best-sale-hot-cosmetics-makeup-lip-gloss-long-lasting,o-two-o-12colors-best-sale-hot-cosmetics-makeup-lip-gloss-long-lasting-waterproof,,,,,,,05,,,,,,,,CCDAEC07FAB44E23ABDE494692494C84,100.0,shopify,continue,manual,16.37,20.95,true,true,,,,,,,,,,o-two-o-12colors-best-sale-hot-cosmetics-makeup-lip-gloss-long-lasting,o-two-o-12colors-best-sale-hot-cosmetics-makeup-lip-gloss-long-lasting-waterproof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,2.73,,,,,,,,,,[],,commercial,0,0,60,100,0.9,0.9,,
o-two-o-12colors-best-sale-hot-cosmetics-makeup-lip-gloss-long-lasting-waterproof,o-two-o-12colors-best-sale-hot-cosmetics-makeup-lip-gloss-long-lasting,o-two-o-12colors-best-sale-hot-cosmetics-makeup-lip-gloss-long-lasting-waterproof,,,,,,,06,,,,,,,,295D246C610447A3A7BC07255E26158A,100.0,shopify,continue,manual,16.37,20.95,true,true,,,,,,,,,,o-two-o-12colors-best-sale-hot-cosmetics-makeup-lip-gloss-long-lasting,o-two-o-12colors-best-sale-hot-cosmetics-makeup-lip-gloss-long-lasting-waterproof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,2.73,,,,,,,,,,[],,commercial,0,0,60,100,0.9,0.9,,
o-two-o-12colors-best-sale-hot-cosmetics-makeup-lip-gloss-long-lasting-waterproof,o-two-o-12colors-best-sale-hot-cosmetics-makeup-lip-gloss-long-lasting,o-two-o-12colors-best-sale-hot-cosmetics-makeup-lip-gloss-long-lasting-waterproof,,,,,,,07,,,,,,,,621A17CD924D473DBE5C343A3D46E084,100.0,shopify,continue,manual,16.37,20.95,true,true,,,,,,,,,,o-two-o-12colors-best-sale-hot-cosmetics-makeup-lip-gloss-long-lasting,o-two-o-12colors-best-sale-hot-cosmetics-makeup-lip-gloss-long-lasting-waterproof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,2.73,,,,,,,,,,[],,commercial,0,0,60,100,0.9,0.9,,
o-two-o-12colors-best-sale-hot-cosmetics-makeup-lip-gloss-long-lasting-waterproof,o-two-o-12colors-best-sale-hot-cosmetics-makeup-lip-gloss-long-lasting,o-two-o-12colors-best-sale-hot-cosmetics-makeup-lip-gloss-long-lasting-waterproof,,,,,,,08,,,,,,,,73DCDD97E4B442AA9B3CB688733D639C,100.0,shopify,continue,manual,16.37,20.95,true,true,,,,,,,,,,o-two-o-12colors-best-sale-hot-cosmetics-makeup-lip-gloss-long-lasting,o-two-o-12colors-best-sale-hot-cosmetics-makeup-lip-gloss-long-lasting-waterproof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,2.73,,,,,,,,,,[],,commercial,0,0,60,100,0.9,0.9,,
